Year,LocationDesc,LocationAbbr,Category,Indicator,Datasource,DataValueUnit,DataValueType,DataValue,DataValueFootnoteSymbol,DataValueFootnote,IndicatorID,LocationID,IndicatorSortOrder,LocationSortOrder,Geolocation,DataValueAlt
2000,Florida,FL,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,62.6,,,WFRS_State_1,12,20,10,"(28.932040377000476, -81.92896053899966)",62.6
2000,Georgia,GA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,92.9,,,WFRS_State_1,13,20,11,"(32.83968109300048, -83.62758034599966)",92.9
2000,Hawaii,HI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,8.7,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,15,20,12,"(21.304850435000446, -157.85774940299973)",8.7
2000,Idaho,ID,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,45.4,,,WFRS_State_1,16,20,13,"(43.682630005000476, -114.3637300419997)",45.4
2000,Illinois,IL,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,93.4,,,WFRS_State_1,17,20,14,"(40.48501028300046, -88.99771017799969)",93.4
2000,Indiana,IN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.3,,,WFRS_State_1,18,20,15,"(39.766910452000445, -86.14996019399968)",95.3
2000,Iowa,IA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,91.3,,,WFRS_State_1,19,20,16,"(42.46940091300047, -93.81649055599968)",91.3
2000,Kansas,KS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,62.5,,,WFRS_State_1,20,20,17,"(38.34774030000045, -98.20078122699965)",62.5
2000,Kentucky,KY,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,96.1,,,WFRS_State_1,21,20,18,"(37.645970271000465, -84.77497104799966)",96.1
2000,Louisiana,LA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,50.6,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,22,20,19,"(31.31266064400046, -92.44568007099969)",50.6
2000,Maine,ME,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,75.4,,,WFRS_State_1,23,20,20,"(45.254228894000505, -68.98503133599962)",75.4
2000,Maryland,MD,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,76.1,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,24,20,21,"(39.29058096400047, -76.60926011099963)",76.1
2000,Massachusetts,MA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.8,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,25,20,22,"(42.27687047000046, -72.08269067499964)",54.8
2000,Michigan,MI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,90.7,,,WFRS_State_1,26,20,23,"(44.6613195430005, -84.71439026999968)",90.7
2000,Minnesota,MN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,98.2,,,WFRS_State_1,27,20,24,"(46.35564873600049, -94.79420050299967)",98.2
2000,Mississippi,MS,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,46.1,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_1,28,20,25,"(32.745510099000455, -89.53803082499968)",46.1
2000,Missouri,MO,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,67.1,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,29,20,26,"(38.635790776000476, -92.56630005299968)",67.1
2000,Montana,MT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,22.2,,,WFRS_State_1,30,20,27,"(47.06652897200047, -109.42442064499971)",22.2
2000,Nebraska,NE,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,69.8,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,31,20,28,"(41.6410409880005, -99.36572062299967)",69.8
2000,Nevada,NV,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,66.2,,,WFRS_State_1,32,20,29,"(39.493240390000494, -117.07184056399967)",66.2
2000,New Hampshire,NH,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,43.0,,,WFRS_State_1,33,20,30,"(43.65595011300047, -71.50036091999965)",43
2000,New Jersey,NJ,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,15.5,,,WFRS_State_1,34,20,31,"(40.13057004800049, -74.27369128799967)",15.5
2000,New Mexico,NM,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,76.7,,,WFRS_State_1,35,20,32,"(34.52088095200048, -106.24058098499967)",76.7
2000,New York,NY,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,74.7,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,36,20,33,"(42.82700103200045, -75.54397042699964)",74.7
2000,North Carolina,NC,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,83.3,,,WFRS_State_1,37,20,34,"(35.466220975000454, -79.15925046299964)",83.3
2000,North Dakota,ND,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,95.4,,,WFRS_State_1,38,20,35,"(47.47531977900047, -100.11842104899966)",95.4
2000,Ohio,OH,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,87.6,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,39,20,36,"(40.06021014100048, -82.40426005599966)",87.6
2000,Oklahoma,OK,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,73.1,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,40,20,37,"(35.47203135600046, -97.52107021399968)",73.1
2000,Oregon,OR,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,17.2,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,41,20,38,"(44.56744942400047, -120.15503132599969)",17.2
2000,Pennsylvania,PA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.2,,,WFRS_State_1,42,20,39,"(40.79373015200048, -77.86070029399963)",54.2
2000,Rhode Island,RI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,85.1,,,WFRS_State_1,44,20,40,"(41.70828019300046, -71.52247031399963)",85.1
2000,South Carolina,SC,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,91.2,,,WFRS_State_1,45,20,41,"(33.998821303000454, -81.04537120699968)",91.2
2000,South Dakota,SD,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,86.2,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,46,20,42,"(44.353130053000484, -100.3735306369997)",86.2
2000,Tennessee,TN,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,94.5,,,WFRS_State_1,47,20,43,"(35.68094058000048, -85.77449091399967)",94.5
2000,Texas,TX,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,65.7,,,WFRS_State_1,48,20,44,"(31.827240407000488, -99.42677020599967)",65.7
2000,Utah,UT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,1.7,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,49,20,45,"(39.360700171000474, -111.58713063499971)",1.7
2000,Vermont,VT,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,54.2,,,WFRS_State_1,50,20,46,"(43.62538123900049, -72.51764079099962)",54.2
2000,Virginia,VA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,93.3,,,WFRS_State_1,51,20,47,"(37.54268067400045, -78.45789046299967)",93.3
2000,Washington,WA,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,41.0,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,53,20,48,"(47.52227862900048, -120.47001078999972)",41
2000,West Virginia,WV,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,65.3,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_1,54,20,49,"(38.66551020200046, -80.71264013499967)",65.3
2000,Wisconsin,WI,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,89.3,,,WFRS_State_1,55,20,50,"(44.39319117400049, -89.81637074199966)",89.3
2000,Wyoming,WY,Water Fluoridation,Percent of population served by CWS that are receiving fluoridated water,WFRS,%,Percent,29.7,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_1,56,20,51,"(43.23554134300048, -108.10983035299967)",29.7
2000,United States,US,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,161924080.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_2,US,21,0,,161924080
2000,Alabama,AL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3699090.0,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,1,21,1,"(32.84057112200048, -86.63186076199969)",3699090
2000,Alaska,AK,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,270099.0,,,WFRS_State_2,2,21,2,"(64.84507995700051, -147.72205903599973)",270099
2000,Arizona,AZ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2700354.0,,,WFRS_State_2,4,21,3,"(34.865970280000454, -111.76381127699972)",2700354
2000,Arkansas,AR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1147109.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,5,21,4,"(34.74865012400045, -92.27449074299966)",1147109
2000,California,CA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,9551961.0,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,6,21,5,"(37.63864012300047, -120.99999953799971)",9551961
2000,Colorado,CO,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2680750.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,8,21,6,"(38.843840757000464, -106.13361092099967)",2680750
2000,Connecticut,CT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2398227.0,,,WFRS_State_2,9,21,7,"(41.56266102000046, -72.64984095199964)",2398227
2000,Delaware,DE,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,505747.0,,,WFRS_State_2,10,21,8,"(39.008830667000495, -75.57774116799965)",505747
2000,District of Columbia,DC,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,571042.0,g,"Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,11,21,9,"(38.89037138500049, -77.03196112699965)",571042
2000,Florida,FL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,9407494.0,,,WFRS_State_2,12,21,10,"(28.932040377000476, -81.92896053899966)",9407494
2000,Georgia,GA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6161139.0,,,WFRS_State_2,13,21,11,"(32.83968109300048, -83.62758034599966)",6161139
2000,Hawaii,HI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,105737.0,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,15,21,12,"(21.304850435000446, -157.85774940299973)",105737
2000,Idaho,ID,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,383720.0,,,WFRS_State_2,16,21,13,"(43.682630005000476, -114.3637300419997)",383720
2000,Illinois,IL,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,10453837.0,,,WFRS_State_2,17,21,14,"(40.48501028300046, -88.99771017799969)",10453837
2000,Indiana,IN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4232907.0,,,WFRS_State_2,18,21,15,"(39.766910452000445, -86.14996019399968)",4232907
2000,Iowa,IA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2181649.0,,,WFRS_State_2,19,21,16,"(42.46940091300047, -93.81649055599968)",2181649
2000,Kansas,KS,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1513306.0,,,WFRS_State_2,20,21,17,"(38.34774030000045, -98.20078122699965)",1513306
2000,Kentucky,KY,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3235053.0,,,WFRS_State_2,21,21,18,"(37.645970271000465, -84.77497104799966)",3235053
2000,Louisiana,LA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2260349.0,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,22,21,19,"(31.31266064400046, -92.44568007099969)",2260349
2000,Maine,ME,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,466208.0,,,WFRS_State_2,23,21,20,"(45.254228894000505, -68.98503133599962)",466208
2000,Maryland,MD,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4044392.0,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,24,21,21,"(39.29058096400047, -76.60926011099963)",4044392
2000,Massachusetts,MA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3484492.0,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,25,21,22,"(42.27687047000046, -72.08269067499964)",3484492
2000,Michigan,MI,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,6568151.0,,,WFRS_State_2,26,21,23,"(44.6613195430005, -84.71439026999968)",6568151
2000,Minnesota,MN,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3714465.0,,,WFRS_State_2,27,21,24,"(46.35564873600049, -94.79420050299967)",3714465
2000,Mississippi,MS,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1227268.0,e,Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error.,WFRS_State_2,28,21,25,"(32.745510099000455, -89.53803082499968)",1227268
2000,Missouri,MO,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,3761525.0,"e,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,29,21,26,"(38.635790776000476, -92.56630005299968)",3761525
2000,Montana,MT,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,143092.0,,,WFRS_State_2,30,21,27,"(47.06652897200047, -109.42442064499971)",143092
2000,Nebraska,NE,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,978518.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,31,21,28,"(41.6410409880005, -99.36572062299967)",978518
2000,Nevada,NV,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1086420.0,,,WFRS_State_2,32,21,29,"(39.493240390000494, -117.07184056399967)",1086420
2000,New Hampshire,NH,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,347007.0,,,WFRS_State_2,33,21,30,"(43.65595011300047, -71.50036091999965)",347007
2000,New Jersey,NJ,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1120410.0,,,WFRS_State_2,34,21,31,"(40.13057004800049, -74.27369128799967)",1120410
2000,New Mexico,NM,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,1187404.0,,,WFRS_State_2,35,21,32,"(34.52088095200048, -106.24058098499967)",1187404
2000,West Virginia,WV,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,891851.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,54,21,49,"(38.66551020200046, -80.71264013499967)",891851
2000,New York,NY,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,14184047.0,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,36,21,33,"(42.82700103200045, -75.54397042699964)",14184047
2000,North Carolina,NC,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,4862220.0,,,WFRS_State_2,37,21,34,"(35.466220975000454, -79.15925046299964)",4862220
2000,North Dakota,ND,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,531738.0,,,WFRS_State_2,38,21,35,"(47.47531977900047, -100.11842104899966)",531738
2000,Ohio,OH,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,8355002.0,f,Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,39,21,36,"(40.06021014100048, -82.40426005599966)",8355002
2000,Oklahoma,OK,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,2523799.0,"e,f,g","e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information. g: Population served by community water systems (CWS) exceeded the U.S. Census state population estimate; number of persons was reduced by the ratio of the population estimate to the CWS population estimate. Use caution in comparing the 2008 estimates for the number of persons receiving fluoridated water and persons served by CWS for these states to estimates from 2002, 2004, and 2006 because a different vintage of U.S. Census population estimates was used.",WFRS_State_2,40,21,37,"(35.47203135600046, -97.52107021399968)",2523799
2000,Oregon,OR,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,440903.0,"e,f",e: Estimate for percentage has changed from that previously reported due to new methodology or correction of a rounding error. f: Complete data were not available from WFRS; state provided additional information.,WFRS_State_2,41,21,38,"(44.56744942400047, -120.15503132599969)",440903
2000,Pennsylvania,PA,Water Fluoridation,Population served by CWS receiving Fluoridated Water,WFRS,,Population,5825328.0,,,WFRS_State_2,42,21,39,"(40.79373015200048, -77.86070029399963)",5825328
